236	1249	73	1658	276	1272	1544	878	945	293	1059	197	1409	2	259	237	327	1729	772	612
54	1169	9	1157	942	933	1099	268	143	843	479	82	1293	611	1861	541	979	1149	579	1889
1653	672	57	596	852	920	454	1339	1052	1701	1001	1153	968	300	1053	1490	124	1676	1530	1500
823	1091	549	1560	1801	853	977	1408	228	25	298	981	635	1022	1865	1814	1063	536	1425	1669
847	94	132	145	517	195	137	861	1451	70	1087	173	1432	166	232	1255	810	1571	151	1144
1366	785	361	1828	1137	1358	1177	653	69	1148	1851	993	687	848	986	89	493	1688	1968	1492
457	544	1554	1388	1931	1744	159	530	678	336	1942	1365	1629	1852	1443	1821	1481	283	850	322
590	663	146	518	1209	23	1640	679	29	128	784	513	779	1319	1454	310	682	760	905	1113
628	1506	1813	949	1238	758	220	176	366	534	1226	466	1887	431	1198	1590	1246	632	1795	711
263	1217	5	1890	1691	385	954	1273	425	374	1616	828	1170	238	1340	1534	439	16	1626	567
1359	1521	1131	66	1306	1815	991	1267	200	290	1553	562	193	1588	1143	547	1694	555	761	908
192	736	1995	776	134	1958	1874	1965	668	301	872	1197	696	984	1315	1789	964	503	77	769
1933	1349	855	161	959	360	676	1108	1	402	174	1134	932	484	1186	33	273	1130	240	879
990	1507	1156	252	718	1318	315	1797	737	1822	1582	488	1173	1203	1564	886	648	1264	644	1150
1188	969	554	129	499	899	163	1065	426	609	1397	1129	1142	839	447	379	773	989	305	602
1168	1224	630	703	1804	444	1705	381	1401	1898	1219	1133	1372	576	67	474	1357	1711	367	1382
819	1737	311	591	1201	1504	633	1954	1542	1602	42	873	1535	1304	86	1200	1254	960	619	1947
1480	1343	902	274	1107	164	807	926	1035	857	126	1635	459	956	354	418	487	585	17	394	
563	1871	917	684	120	655	11	1739	1395	750	1163	1103	1748	185	3	368	998	787	1824	1132
1074	1183	1051	1634	62	782	480	510	1900	520	778	1258	489	854	950	1934	581	1879	1767	574
495	542	331	953	1223	1298	912	1215	1967	723	83	1405	1689	1436	900	1437	1275	130	434	652
963	617	1696	456	1064	1850	598	751	987	15	392	40	1205	1080	739	1274	92	1717	1320	1025
492	58	788	1623	123	1242	1324	600	1257	511	1690	138	1650	593	657	1565	97	742	1403	743
1548	831	707	1792	799	1523	645	844	916	1062	19	1517	1348	1842	1877	482	552	1373	148	1911
793	1054	1305	929	1362	420	106	688	333	1375	309	1277	610	1422	815	867	90	939	698	901
407	830	1171	800	618	429	1661	923	1118	876	1158	1453	1627	1102	1386	186	122	1260	803	636
103	1020	1569	1119	1043	870	1909	1757	30	661	1892	1180	294	108	1088	359	1418	824	1905	1681
580	720	494	943	928	519	414	728	1125	639	975	725	179	1182	1576	883	1467	686	1384	1776
1181	1050	537	744	1518	1718	56	966	224	689	1818	78	212	918	1816	1029	1810	1497	1376	1772
1781	757	935	638	194	353	1011	512	424	1876	1237	675	1502	383	1741	1380	453	747	1141	1034
1004	1715	1261	417	291	881	1721	100	271	1699	1314	207	994	1840	1670	1700	846	1374	1036	915
1936	1663	951	705	184	1788	1390	14	1919	1235	321	1684	249	1337	1734	871	312	181	507	1098
529	572	320	1738	59	498	1147	280	930	1503	198	1520	1391	397	1856	967	34	681	1106	342
1703	1287	1179	940	1654	1351	1377	388	1289	717	1982	938	1117	270	523	1780	325	1941	1039	52
1281	436	218	1278	1466	1321	1110	1192	955	4	1494	1383	1868	1312	1136	1990	1707	1444	475	724
1152	856	997	168	1411	1753	1918	907	1835	1587	76	740	105	622	1479	452	1352	1465	1605	1943
304	558	952	1085	205	411	287	319	909	1891	349	833	1328	1924	715	812	1333	1489	1123	1286
136	826	1026	1433	790	1442	1364	890	1161	813	1785	465	947	1220	1216	1547	1561	780	1094	355
1353	430	1854	1759	1847	1930	910	255	982	1972	1056	1104	211	1311	415	1526	569	1012	624	199
